name,date
Stephanus Agazzarus,October 28
Thomas Aquinas,January 28
Thomas Aquinas,July 18
Thomas Aquinas,March 8
Thomas Aquinas,March 7
Thomas Helias,October 19
Thomas More,July 6
Thomas Plumtree,January 4
Two Ewaldi,October 29
Ugolinus Magalotus,December 11
Ursicinus Medicus,June 19
Ursula Benincasa,October 20
Victoria Furnaria,December 15
Villana Botti,February 28
Villana Bottia,August 26
Vitalis Siculus,March 9
