Annarius,11|1
Annemundus,9|28
Annianus,11|15
Anno,4|29;12|5;12|4;5|23;1|7
Ansanus,12|1
Ansaricus,9|5
Ansbaldus,7|12
Anscharius,2|3;2|4;9|9
Ansegisus,8|20;7|20
Anselm,4|21;3|3;3|18
Ansfridus,5|3
Ansilio,10|11
Ansovinus,3|13
Anstrudis,10|17
Ansulfus,8|7
Ansutinus,10|16;10|17
Answerus,7|24;7|18;7|15
Anthelmus,6|26
Anthemius,12|3
Antherus,1|3
Anthes,8|28
Anthilia,9|25;9|24;2|15
Anthimus,2|14;5|11
Antholianus,2|6;5|15
Anthony,5|2;5|10;11|13;10|31;8|23;9|4;9|3;9|2;10|11;2|14;5|18;10|13;10|15;9|30;7|4
Antidius,6|16;11|14;6|25;6|17
Antilia,2|15
Antimus,2|21;4|27
Antiochus,10|15
Aper,9|15
Aphra,3|2;5|24;8|5;8|8;10|26;5|4;8|7;7|27
Apianus,11|6;3|4;10|29
Apollinaris,7|23;10|6;4|11;11|27;10|5;8|23
Apollonia,2|11;2|20;2|9
Apolloniea,3|10
Apollonius,7|7;4|18;7|8;4|10;4|14;3|8;7|23;7|27;11|16;3|19
Apothemus,11|20
Appelicus,4|21
Appia,11|22
Appianus,1|19;11|6
Apra,12|13
Aprincia,6|22
Apronianus,2|2
Aprunculus,5|14;4|22
Aprus,12|4;12|11
Apselius,8|4
Aptonius,10|26
Apulejus,10|6;10|7;10|8
Aquilinus,2|15;10|19;2|4;5|16;1|29
Aquilla,7|8
Aquilo,10|19
Arator,11|10
Arbogastus,3|29;7|20;7|21
Arcanus,9|1
Archadius,8|1
Archangelus,7|5
Archlaus,8|23
Archontius,6|18
Arcontius,1|19;1|8
Ardagnus,2|11
Ardo,3|7
Arealdus,9|1
Aredius,5|17;8|25;8|26
Areta,10|1
Argimirus,6|28
Arialdus,6|27
Arilda,10|30
Arimalis,10|9
Aristeus,9|3
Armagilus,8|16
Armaglia,10|24
Armentarius,1|30
Arno,7|13
Arnold,7|18;7|17;6|30;10|31;11|15;1|29;2|7;8|15;7|24;7|19;11|17;3|8;10|3;8|16
Arnulphus,9|19
Aroncius,8|27
Arsacius,6|17;11|12
Arsenius,5|18
Arsenus,7|19;7|18
Artaldus,10|6
Arthelaidis,3|3
Arthemius,1|24;4|28
Asaph,5|1
Ascelina,8|23
Asclepius,1|2;12|23
Asclinus,6|30
Asicus,4|27
Aspasius,1|2;1|1
Asprenus,8|3
Asteria,8|10
Asteriolus,8|18
Asterius,4|20;9|16;10|21;10|30
Astius,7|7;7|6
Athala,12|3
Athanasius,10|13;11|1;1|26;7|15
Attalenus,7|6
Attalus,11|18;4|3;8|21;3|9
Attilanus,10|5
Atto,5|22
Auctor,8|10;8|9;8|20
Audax,7|10;7|9
Audentius,11|24;11|25;12|3
Auditus,6|3
Audoenus,3|20;3|31;5|5;5|21;8|25;8|31
Audomarus,9|9;9|17;6|7;6|8;9|10
Augencius,1|11
Augia,5|14
Augulus,2|7
Augurius,1|21;2|21;2|13
August,10|7
Augusta,3|26;3|27
Augustales,9|7
Augustinus,9|6;8|8;5|5;2|28;5|26;8|3;8|27;8|28;9|4;2|27;10|11;10|17;11|16;11|17
Aulus,3|29
Aunacharius,9|25
Aunobertus,1|5;5|16;9|3
Aurea,7|19;8|25;8|24;10|4;8|26;8|27
Aurelia,10|14;10|15;9|2
Aurelianus,5|6;5|22;6|16;7|4;5|8
Aurelius,8|27;11|9;4|26;9|13;10|20;7|27
Auremundus,9|28;7|9
Auria,3|11
Ausiacus,10|25
Ausonius,6|11;5|22
Auspicius,8|2;7|8;8|9;7|28
Austendus,7|27;9|25
Austreberta,2|10;10|20
Austreburtus,6|5
Austregisilus,5|20;5|23;5|28;5|27;2|15
Austremonius,2|1;5|23;11|1
Austrulfus,9|14
Autarius,4|26
Autbertus,12|13;6|16;9|10;9|6;7|19;6|18
Autbodus,11|21
Auxanius,9|3
Auxentius,4|17;2|15;2|14
Auxilius,1|26
Auxillia,9|4
